Time,Solar
72,0
71,0
70,0
69,0
68,0.065830556
67,1.024770556
66,3.841496667
65,6.478339722
64,8.271984444
63,9.159050833
62,9.515034722
61,9.626908611
60,9.274059444
59,8.429127222
58,6.699176389
57,3.938963889
56,1.096632778
55,0.058044722
54,0
53,0
52,0
51,0
50,0
49,0
48,0
47,0
46,0
45,0
44,0.044133611
43,1.232664444
42,4.100063611
41,6.607340833
40,8.252297778
39,7.607970556
38,7.581453611
37,7.503845
36,4.894040833
35,5.035940278
34,4.399876667
33,1.918743889
32,0.739721944
31,0.062593889
30,0
29,0
28,0
27,0
26,0
25,0
24,0
23,0
22,0
21,0
20,0.060996389
19,0.759317222
18,2.843209167
17,4.804643333
16,7.771510833
15,8.458153333
14,7.315279444
13,8.412143056
12,9.117964167
11,6.713647222
10,4.7215425
9,2.532801111
8,1.128783889
7,0.0405225
6,0
5,0
4,0
3,0
2,0
1,0
0,0
