"Year","Month","Burglaries","Law","Population"
1976,"Jan",9,"No",4483
1976,"Feb",0,"No",4483
1976,"Mar",3,"No",4483
1976,"Apr",0,"No",4483
1976,"May",5,"No",4483
1976,"Jun",4,"No",4483
1976,"Jul",3,"No",4483
1976,"Aug",2,"No",4483
1976,"Sep",4,"No",4483
1976,"Oct",7,"No",4483
1976,"Nov",2,"No",4483
1976,"Dec",2,"No",4483
1977,"Jan",1,"No",4631
1977,"Feb",2,"No",4631
1977,"Mar",0,"No",4631
1977,"Apr",3,"No",4631
1977,"May",4,"No",4631
1977,"Jun",1,"No",4631
1977,"Jul",0,"No",4631
1977,"Aug",0,"No",4631
1977,"Sep",0,"No",4631
1977,"Oct",0,"No",4631
1977,"Nov",4,"No",4631
1977,"Dec",6,"No",4631
1978,"Jan",1,"No",4803
1978,"Feb",0,"No",4803
1978,"Mar",1,"No",4803
1978,"Apr",4,"No",4803
1978,"May",0,"No",4803
1978,"Jun",4,"No",4803
1978,"Jul",2,"No",4803
1978,"Aug",2,"No",4803
1978,"Sep",2,"No",4803
1978,"Oct",2,"No",4803
1978,"Nov",1,"No",4803
1978,"Dec",3,"No",4803
1979,"Jan",3,"No",4975
1979,"Feb",1,"No",4975
1979,"Mar",6,"No",4975
1979,"Apr",6,"No",4975
1979,"May",3,"No",4975
1979,"Jun",7,"No",4975
1979,"Jul",2,"No",4975
1979,"Aug",7,"No",4975
1979,"Sep",0,"No",4975
1979,"Oct",0,"No",4975
1979,"Nov",0,"No",4975
1979,"Dec",0,"No",4975
1980,"Jan",1,"No",5104
1980,"Feb",8,"No",5104
1980,"Mar",4,"No",5104
1980,"Apr",2,"No",5104
1980,"May",2,"No",5104
1980,"Jun",4,"No",5104
1980,"Jul",3,"No",5104
1980,"Aug",5,"No",5104
1980,"Sep",3,"No",5104
1980,"Oct",5,"No",5104
1980,"Nov",7,"No",5104
1980,"Dec",2,"No",5104
1981,"Jan",3,"No",5531
1981,"Feb",4,"No",5531
1981,"Mar",9,"No",5531
1981,"Apr",4,"No",5531
1981,"May",7,"No",5531
1981,"Jun",10,"No",5531
1981,"Jul",6,"No",5531
1981,"Aug",5,"No",5531
1981,"Sep",1,"No",5531
1981,"Oct",4,"No",5531
1981,"Nov",1,"No",5531
1981,"Dec",0,"No",5531
1982,"Jan",1,"No",5898
1982,"Feb",6,"No",5898
1982,"Mar",2,"No",5898
1982,"Apr",0,"Yes",5898
1982,"May",6,"Yes",5898
1982,"Jun",1,"Yes",5898
1982,"Jul",4,"Yes",5898
1982,"Aug",4,"Yes",5898
1982,"Sep",6,"Yes",5898
1982,"Oct",2,"Yes",5898
1982,"Nov",3,"Yes",5898
1982,"Dec",0,"Yes",5898
1983,"Jan",2,"Yes",6203
1983,"Feb",5,"Yes",6203
1983,"Mar",1,"Yes",6203
1983,"Apr",0,"Yes",6203
1983,"May",3,"Yes",6203
1983,"Jun",2,"Yes",6203
1983,"Jul",5,"Yes",6203
1983,"Aug",5,"Yes",6203
1983,"Sep",2,"Yes",6203
1983,"Oct",4,"Yes",6203
1983,"Nov",2,"Yes",6203
1983,"Dec",4,"Yes",6203
1984,"Jan",1,"Yes",6692
1984,"Feb",2,"Yes",6692
1984,"Mar",2,"Yes",6692
1984,"Apr",0,"Yes",6692
1984,"May",3,"Yes",6692
1984,"Jun",3,"Yes",6692
1984,"Jul",4,"Yes",6692
1984,"Aug",4,"Yes",6692
1984,"Sep",4,"Yes",6692
1984,"Oct",3,"Yes",6692
1984,"Nov",2,"Yes",6692
1984,"Dec",1,"Yes",6692
1985,"Jan",3,"Yes",7059
1985,"Feb",3,"Yes",7059
1985,"Mar",2,"Yes",7059
1985,"Apr",1,"Yes",7059
1985,"May",6,"Yes",7059
1985,"Jun",5,"Yes",7059
1985,"Jul",3,"Yes",7059
1985,"Aug",2,"Yes",7059
1985,"Sep",0,"Yes",7059
1985,"Oct",2,"Yes",7059
1985,"Nov",4,"Yes",7059
1985,"Dec",1,"Yes",7059
1986,"Jan",2,"Yes",7425
1986,"Feb",4,"Yes",7425
1986,"Mar",2,"Yes",7425
1986,"Apr",8,"Yes",7425
1986,"May",10,"Yes",7425
1986,"Jun",6,"Yes",7425
1986,"Jul",9,"Yes",7425
1986,"Aug",7,"Yes",7425
1986,"Sep",2,"Yes",7425
1986,"Oct",5,"Yes",7425
1986,"Nov",5,"Yes",7425
1986,"Dec",10,"Yes",7425
