"math","english"
47,60
47,66
43,65
51,69
51,64
64,64
55,57
54,56
57,65
52,56
44,56
44,45
45,54
59,65
61,46
45,60
54,77
48,61
53,77
47,63
41,71
56,63
77,64
45,57
59,63
63,48
52,60
46,65
33,47
58,64
33,58
62,61
46,61
51,70
41,58
55,54
71,65
60,61
50,56
73,63
45,58
51,49
48,53
34,52
55,71
69,57
66,65
56,59
47,50
69,62
50,54
35,52
41,49
55,58
43,77
69,60
55,49
46,56
33,42
39,75
33,56
50,56
44,54
52,63
62,57
52,60
54,54
59,81
33,34
42,62
38,71
61,65
64,72
60,56
53,62
63,56
50,60
55,70
55,62
54,49
66,81
43,60
50,54
55,49
48,54
27,57
51,83
54,56
47,70
44,53
52,61
57,70
48,59
43,63
30,57
43,52
40,75
47,51
61,66
56,77
42,53
52,67
48,49
39,54
57,50
60,63
61,57
52,63
64,56
37,50
54,53
61,52
27,60
30,56
41,38
29,50
50,74
33,52
49,71
39,44
47,54
58,57
55,64
58,56
66,81
53,62
50,55
45,57
45,45
60,67
50,71
41,57
43,60
53,52
49,67
42,54
47,75
66,59
61,61
41,59
49,57
50,65
58,58
48,66
56,59
45,69
46,60
55,50
57,65
49,56
55,62
56,67
41,80
48,60
57,65
51,84
43,66
56,79
63,64
41,58
47,48
29,58
46,69
35,58
50,59
50,55
50,77
64,70
50,76
47,57
58,58
50,64
47,57
48,57
56,65
44,61
56,54
58,55
39,72
52,71
58,73
55,69
38,60
45,70
53,48
29,56
49,54
35,33
51,52
46,59
45,46
38,38
58,68
62,49
61,47
46,66
53,59
53,62
63,56
51,67
41,62
54,60
42,55
48,57
75,66
58,57
30,48
53,51
49,74
51,61
69,55
53,71
33,45
47,51
47,62
48,52
46,61
45,63
66,55
46,45
43,53
63,48
43,49
60,52
52,60
42,57
42,58
52,68
46,62
59,59
58,67
63,86
51,56
41,54
51,66
42,65
42,71
45,53
69,59
59,52
52,66
45,65
66,79
61,51
34,60
50,53
36,70
52,61
61,65
55,61
66,77
42,66
61,63
53,79
45,49
41,55
55,60
45,58
60,56
55,60
28,52
62,60
57,55
31,31
66,58
49,68
43,55
57,59
54,52
50,73
28,56
64,71
46,69
47,57
54,60
49,72
51,57
46,65
46,59
46,57
51,67
49,64
55,59
64,78
43,62
56,65
65,80
61,61
59,52
49,64
36,47
37,47
39,62
50,45
35,63
53,57
38,55
40,57
57,65
48,53
