"proj","pwt","cwt","dist","config"
"tennis ball",55,1,100,"a"
"tennis ball",55,1,156,"a"
"tennis ball",55,1,156,"a"
"tennis ball",55,1,130,"a"
"tennis ball",55,1,133,"a"
"golf",46,1,246,"a"
"golf",46,1,254,"a"
"golf",46,1,228,"a"
"golf",46,1,249,"a"
"golf",46,1,245,"a"
"foose",24,1,440,"a"
"foose",24,1,413,"a"
"foose",24,1,423,"a"
"foose",24,1,432,"a"
"foose",24,1,477,"a"
"tennis ball",55,1.5,345,"a"
"tennis ball",55,1.5,333,"a"
"tennis ball",55,1.5,343,"a"
"tennis ball",55,1.5,352,"a"
"tennis ball",55,1.5,336,"a"
"golf",46,1.5,462,"a"
"golf",46,1.5,466,"a"
"golf",46,1.5,499,"a"
"golf",46,1.5,479,"a"
"golf",46,1.5,460,"a"
"foose",24,1.5,643,"a"
"foose",24,1.5,638,"a"
"foose",24,1.5,687,"a"
"foose",24,1.5,652,"a"
"foose",24,1.5,554,"a"
"big washerb",60,1.5,306,"a"
"big washerb",60,1.5,373,"a"
"big washerb",60,1.5,342,"a"
"big washerb",60,1.5,343,"a"
"big washerb",60,1.5,354,"a"
"tennis ball",55,1.5,203,"b"
"tennis ball",55,1.5,206,"b"
"tennis ball",55,1.5,203,"b"
"golf",46,1.5,308,"b"
"golf",46,1.5,243,"b"
"golf",46,1.5,243,"b"
"golf",46,1.5,263,"b"
"wood",29,1.5,453,"b"
"wood",29,1.5,460,"b"
"wood",29,1.5,450,"b"
"bigWash",60,1.5,135,"b"
"bigWash",60,1.5,164,"b"
"bigWash",60,1.5,200,"b"
"bigWash",60,1.5,200,"b"
"bigWash",60,1.5,200,"b"
"tennis ball",55,1,3,"b"
"tennis ball",55,1,2,"b"
"tennis ball",55,1,2,"b"
"golf",46,1,99,"b"
"golf",46,1,100,"b"
"golf",46,1,87,"b"
"wood",29,1,205,"b"
"wood",29,1,290,"b"
"wood",29,1,200,"b"
"wood",29,1,200,"b"
"bigWash",60,1,3,"b"
"bigWash",60,1,5,"b"
"bigWash",60,1,7,"b"
"bigWash",60,1,2,"b"
"bigWash",60,1,5,"b"
"tennis ball",55,2,300,"b"
"tennis ball",55,2,300,"b"
"tennis ball",55,2,300,"b"
"golf",46,2,495,"b"
"golf",46,2,400,"b"
"golf",46,2,500,"b"
"golf",46,2,600,"b"
"tennis ball",55,2.5,615,"b"
"tennis ball",55,2.5,695,"b"
"golf",46,2.5,850,"B"
"golf",46,2.5,818,"B"
"golf",46,2.5,815,"B"
"wood",29,2.5,790,"B"
"wood",29,2.5,910,"B"
"wood",29,2.5,890,"B"
"bigWash",60,2.5,750,"B"
"bigWash",60,2.5,690,"B"
"bigWash",60,2.5,675,"B"
"tennis ball",55,2.5,710,"c"
"tennis ball",55,2.5,730,"c"
"tennis ball",55,2.5,620,"c"
"golf",46,2.5,865,"c"
"golf",46,2.5,915,"c"
"golf",46,2.5,868,"c"
"wood",29,2.5,800,"c"
"wood",29,2.5,980,"c"
"wood",29,2.5,1260,"c"
"wood",29,2.5,920,"c"
"bigWash",60,2.5,725,"c"
"bigWash",60,2.5,690,"c"
"bigWash",60,2.5,745,"c"
"foose",24,3,1414,"a"
"foose",24,3,1194,"a"
"foose",24,3,1074,"a"
"foose",24,3,1024,"a"
"foose",24,3,1059,"a"
"tennis ball",55,1.5,365,"c"
"tennis ball",55,1.5,310,"c"
"tennis ball",55,1.5,340,"c"
"golf",46,1.5,495,"c"
"golf",46,1.5,480,"c"
"bean",44,3,940,"B"
"bean",44,3,940,"B"
"MWB",40,3,938,"B"
"MWB",40,3,942,"B"
"MWB",40,3,1120,"B"
"MWB",40,3,1030,"B"
"MWB",40,3,1080,"B"
"tennis ball",55,3,870,"B"
"tennis ball",55,3,872,"B"
"tennis ball",55,3,790,"B"
"tennis ball",55,3,828,"B"
"golf",46,3,995,"B"
"golf",46,3,1005,"B"
"golf",46,3,1003,"B"
"wood",29,3,1071,"B"
"wood",29,3,1010,"B"
"wood",29,3,1000,"B"
"BWB",60,3,834,"B"
"BWB",60,3,664,"B"
"BWB",60,3,880,"B"
"BWB",60,3,888,"B"
"wood",29,2,820,"c"
"wood",29,2,757,"c"
"wood",29,2,747,"c"
"MWB",40,2,728,"c"
"MWB",40,2,762,"c"
"MWB",40,2,656,"c"
"BWB",60,2,574,"c"
"BWB",60,2,531,"c"
"BWB",60,2,554,"c"
"SWB",20,2,704,"B"
"SWB",20,2,738,"B"
"SWB",20,2,751,"B"
"MWB",40,2,704,"B"
"MWB",40,2,714,"B"
"MWB",40,2,833,"B"
"MWB",40,3,1238,"c"
"MWB",40,3,1188,"c"
"MWB",40,3,1175,"c"
"tennis ball",55,3,896,"c"
"tennis ball",55,3,882,"c"
"tennis ball",55,3,879,"c"
"golf",46,3,1055,"c"
"golf",46,3,1074,"c"
"golf",46,3,1077,"c"
"wood",29,3,1051,"c"
"wood",29,3,1095,"c"
"wood",29,3,1068,"c"
"BWB",60,3,962,"c"
"BWB",60,3,1046,"c"
"tennis ball",55,2,323,"c"
"tennis ball",55,2,547,"c"
"tennis ball",55,2,517,"c"
"tennis ball",55,2,497,"c"
"golf",46,2,656,"c"
"golf",46,2,617,"c"
"golf",46,2,673,"c"
